sequenceID,small_end,big_end
20119.2,-0.25,3.75
20121.14,3.0,6.0
20121.7,-2.5,1.0
20124.1,2.5,inf
20124.16,2.75,inf
20124.2,1.75,inf
20124.3,1.0,6.75
20129.20,0.0,2.5
20133.X,-1.75,0.25
20134.X,-1.5,0.5
20135.14,0.5,1.5
20136.17,-2.0,0.5
20138.1,-3.25,0.0
20139.12,-1.0,-0.5
20139.16,0.5,0.5
20139.17,1.75,5.5
20139.3,2.0,inf
20139.4,1.75,inf
20139.5,-1.5,0.0
20140.14,-1.5,1.25
20140.15,-3.0,-0.25
20141.12,-1.75,-0.25
20141.14,-1.75,1.25
20141.5,-1.5,0.5
20142.18,0.5,2.75
20142.22,-1.75,0.0
20143.X,0.0,inf
20144.14,-1.75,-0.5
20144.9,-4.0,0.5
20145.1,-1.0,-0.25
20145.10,-2.25,0.0
20145.12,-2.0,-0.25
20145.14,-2.0,1.25
20145.4,0.25,0.75
20145.8,-2.25,-0.25
20145.9,0.0,3.5
20145.X,-0.75,1.25
20146.17,-2.0,inf
20146.4,-1.25,0.75
20148.1,0.25,0.25
20151.14,-4.75,inf
20151.17,2.0,inf
20154.4,1.75,5.0
20154.9,-0.75,4.25
20157.11,0.0,3.25
20158.1,-2.5,0.25
20158.9,-0.5,0.0
20159.1,-1.5,1.5
20159.14,-2.0,1.25
20159.15,-0.75,3.75
20159.3,0.75,1.75
20159.4,0.25,0.75
20159.9,2.5,6.5
20160.14,-1.25,1.25
20160.17,2.0,inf
20160.4,-0.25,1.25
20160.5,-1.5,inf
20161.1,0.0,3.75
20161.12,-1.5,-0.25
20161.22,-0.25,-0.25
20162.12,-1.25,-0.25
20162.17,2.25,inf
20162.7,-1.25,2.0
20163.1,-1.25,0.25
20163.7,-1.25,-0.25
20163.9,-1.75,0.0
20164.1,-2.25,-0.25
20164.14,-1.25,1.5
20164.4,0.25,inf
20165.15,-0.25,4.75
20165.22,-1.25,inf
20165.4,-4.5,-0.5
20166.12,-1.25,-0.25
20166.17,0.25,4.0
20166.4,-1.0,inf
20167.22,-1.5,0.5
20167.4,-2.25,inf
20168.11,-0.5,0.25
20168.16,-3.0,-0.5
20168.17,-1.75,inf
20168.19,-1.0,-0.25
20168.4,-1.75,inf
20169.10,-1.25,-0.5
20169.14,1.75,3.25
20169.9,2.25,inf
20170.17,-0.25,-0.25
20171.12,-2.25,0.0
20171.16,-0.5,0.0
20171.17,-0.5,0.0
20172.20,0.75,1.0
20172.3,0.25,2.0
20173.19,-2.5,0.0
20177.20,-1.0,3.25
20178.20,0.25,3.5
20183.20,-0.25,2.75
20184.22,1.0,2.5
20186.22,0.75,2.75
204.2,-4.0,0.0
207.10,-2.25,1.25
207.12,-4.5,2.0
207.15,-4.25,1.0
207.17,-2.75,2.0
207.18,-3.5,inf
207.4,-3.75,1.75
207.5,-3.25,1.25
217.17,-4.0,-1.25
219.2,-2.25,inf
219.5,-3.25,-1.75
220.11,-3.0,1.75
220.17,-1.0,2.0
220.19,-2.5,inf
220.2,-3.25,0.5
220.20,-3.25,0.25
220.7,-3.5,-0.25
226.1,-2.0,2.0
227.1,-3.75,1.25
227.2,-6.0,-0.75
227.4,-4.25,0.25
247.1,-2.5,0.0
247.11,-2.5,3.0
247.20,-3.25,inf
247.4,-4.75,inf
247.X,-1.5,0.25
257.1,-1.25,3.0
257.10,-3.0,1.5
257.17,-2.25,1.5
26.11,-3.0,0.75
26.17,-2.5,inf
26.4,-3.25,-1.0
26.8,-4.25,0.0
268.3,-3.25,2.0
270.11,0.5,2.75
273.17,-2.0,2.0
273.6,-2.75,1.5
275.1,-1.75,4.0
275.2,-2.75,1.75
294.1,-2.0,1.75
30001.3,-0.5,2.75
30001.8,1.0,inf
30011.11,3.75,4.75
30011.13,-2.0,1.5
30011.15,3.0,inf
30011.2,1.75,inf
30011.22,2.0,4.0
30011.7,2.75,3.0
30011.8,-0.5,inf
30016.6,-1.25,6.25
30020.4,5.5,inf
30022.12,1.5,inf
30022.17,2.25,inf
30022.9,1.75,2.5
30023.17,-0.5,2.75
30023.9,-1.5,2.5
30024.17,2.0,inf
30024.4,-1.25,3.0
30024.6,-0.5,4.25
311.1,-2.0,inf
311.11,-2.0,1.0
311.15,-3.5,1.75
311.16,-2.5,1.75
311.20,-3.5,-0.75
311.7,-1.25,3.25
314.1,-1.25,4.0
314.5,-0.25,1.25
314.8,-3.0,1.75
316.1,-4.25,0.0
316.10,-3.5,1.0
316.12,-2.75,inf
316.15,-3.0,1.0
316.20,-3.0,0.5
316.7,-2.0,1.75
329.11,-3.25,inf
329.17,0.25,2.25
329.18,-2.5,inf
329.4,-2.5,0.0
329.6,-2.0,0.25
329.8,-2.75,0.25
33.1,-3.5,0.25
33.3,-2.5,1.25
33.6,-3.75,inf
33.7,-2.0,-0.25
330.1,-2.5,3.0
330.16,-1.5,0.5
330.17,-3.0,1.25
331.1,-1.25,inf
331.11,0.0,0.0
331.12,-0.75,1.5
331.16,-1.25,inf
331.17,-1.75,inf
331.2,-1.75,inf
331.20,-1.5,0.75
331.4,-1.75,1.0
331.5,-1.25,1.75
331.6,-1.75,0.75
332.1,-0.25,inf
332.18,-1.25,inf
332.6,-1.5,0.75
332.7,-2.25,0.75
340.1,-0.75,inf
340.6,-1.75,0.0
340.9,-2.0,-0.25
341.1,0.0,2.25
349.1,-2.25,inf
349.17,-2.0,0.5
349.2,-2.5,inf
352.17,-0.5,2.0
352.3,-2.5,1.25
360.1,-0.75,inf
364.2,-4.0,0.0
371.10,-1.75,-0.75
371.14,-3.0,-0.75
371.17,-1.75,0.5
373.14,-3.25,-0.75
375.1,1.0,inf
375.12,-2.25,-0.25
375.3,-2.25,2.0
375.4,-3.0,inf
375.7,-1.5,1.0
378.1,-1.5,2.75
378.10,-2.5,1.75
378.11,-1.25,2.5
378.7,-2.0,2.5
39.1,-2.0,1.25
39.11,-1.25,1.75
39.20,-2.0,inf
39.8,-2.25,0.75
419.11,-4.0,1.75
421.5,-3.0,0.25
429.11,-3.75,0.75
429.17,-1.25,inf
429.5,-3.0,0.25
44.17,-2.0,inf
44.19,-2.25,0.75
44.3,-2.25,1.5
44.5,-1.5,2.5
44.7,-2.75,1.75
441.11,-3.25,-0.5
446.1,-2.5,0.25
446.10,-2.5,0.75
446.11,-2.25,1.75
446.17,-2.5,1.0
446.2,-3.75,inf
446.3,-2.25,inf
446.8,-3.0,0.5
464.2,-3.75,0.75
470.1,-2.0,0.75
470.17,-2.5,inf
479.11,-2.25,0.75
479.17,-3.5,1.0
482.5,-3.5,0.0
482.8,-3.75,-1.25
487.11,-3.0,1.25
487.17,-0.25,2.0
487.4,-3.25,inf
487.6,-3.25,0.5
50.13,-4.25,inf
50.14,-3.25,inf
50.2,-3.75,inf
50.6,-3.75,inf
508.1,2.5,inf
508.2,-inf,inf
513.7,-2.5,0.25
516.1,0.0,0.25
516.2,-3.75,0.0
522.1,-1.0,inf
522.11,-4.0,1.5
522.17,-0.25,1.75
522.21,-3.25,-0.75
522.3,-3.25,1.75
522.4,-2.75,0.5
544.17,-1.75,0.75
544.2,-3.75,0.75
545.17,-2.0,inf
57.1,-1.75,0.75
57.12,-0.5,2.5
57.13,-2.25,1.25
57.14,-1.5,inf
57.16,-2.0,1.25
57.17,-2.75,inf
57.5,-0.75,inf
57.7,-2.25,0.75
57.8,-1.0,inf
586.1,-4.0,0.25
587.1,-2.0,0.5
587.17,-1.5,-0.25
591.1,0.0,3.0
592.1,-3.75,inf
592.2,-3.0,1.5
592.3,-3.25,inf
593.11,0.75,6.0
66.1,-2.0,-0.5
66.17,-2.75,1.5
66.21,-2.5,0.0
66.5,-4.0,0.25
67.19,-3.75,0.0
79.5,-2.75,2.0
8.1,-2.5,0.5
8.11,-0.25,3.0
8.12,-2.0,1.25
8.17,-0.75,3.0
8.18,-3.25,0.5
8.2,-2.0,0.75
8.20,-1.0,0.5
8.7,-2.25,1.75
9.1,-1.0,2.5
91.12,0.0,2.25
91.17,-1.5,2.25
91.7,-3.5,0.5
91.X,-1.25,1.5
94.11,-2.5,2.5
94.16,-2.0,0.5
94.17,-1.0,2.5
94.3,-2.5,2.0
94.4,-3.25,1.5
96.10,-4.0,inf
96.14,-2.75,inf
