sequenceID,fold_1_total_labels,fold_2_total_labels,fold_1_errs,fold_2_errs
174,3,2,3,1
175,2,1,1,1
176,2,2,1,1
177,2,2,0,2
178,2,2,1,1
179,2,1,1,1
180,2,2,2,0
181,2,1,0,1
182,2,2,0,2
183,2,1,1,1
184,4,4,2,2
185,2,1,1,1
186,6,6,5,3
187,4,4,1,2
188,2,1,1,1
189,2,1,0,0
190,2,1,0,0
191,2,1,1,0
192,2,1,0,0
193,2,1,0,0
194,1,1,0,1
195,3,3,1,1
196,2,1,0,0
197,2,1,0,1
198,2,1,0,0
199,1,1,1,0
200,2,1,0,0
201,2,2,1,1
202,1,1,0,1
203,1,1,1,0
204,1,1,0,1
205,2,1,0,0
206,2,1,0,0
207,1,1,1,0
208,2,1,0,1
209,2,1,0,1
210,2,1,0,1
211,2,1,0,0
212,2,1,0,1
213,2,1,0,1
214,2,1,0,1
215,2,2,0,2
216,2,1,0,0
217,1,1,1,0
218,1,1,1,0
219,2,1,1,1
220,2,1,0,0
221,1,1,0,0
222,2,1,0,1
223,2,1,0,1
224,1,1,1,0
225,2,1,1,1
226,2,1,0,1
227,1,1,0,0
228,1,1,0,0
229,2,1,0,0
230,2,1,0,0
231,2,1,0,0
232,2,1,1,0
233,2,1,0,1
234,4,3,1,1
235,1,1,0,0
236,3,2,3,1
237,1,1,1,1
238,1,1,1,1
239,2,1,1,0
240,3,2,0,0
241,3,2,1,1
242,2,1,0,1
243,4,3,2,2
244,3,2,1,2
245,1,1,0,0
246,1,1,0,1
247,3,2,0,0
248,2,1,0,0
249,2,1,1,0
250,1,1,0,0
251,2,1,0,0
252,2,1,1,0
253,1,1,0,0
254,1,1,0,1
255,2,1,0,0
256,2,1,0,0
257,1,1,0,1
258,2,1,0,0
259,2,1,0,0
260,1,1,0,1
261,1,1,0,0
262,1,1,0,1
263,1,1,0,1
264,1,1,1,0
265,2,1,0,1
266,1,1,0,1
267,2,1,0,0
268,1,1,1,0
269,2,1,0,0
270,1,1,1,0
271,2,2,1,1
272,1,1,0,1
273,1,1,0,1
274,1,1,0,1
275,2,1,0,1
276,1,1,1,0
277,1,1,0,1
278,2,1,0,0
279,1,1,0,1
280,2,1,0,1
281,1,1,0,0
282,3,2,0,1
283,2,1,0,0
284,1,1,0,0
285,3,2,2,0
286,1,1,0,0
287,1,1,0,1
288,3,3,1,1
289,1,1,0,0
290,2,2,1,1
291,1,1,0,0
292,1,1,1,0
293,2,1,0,1
294,2,1,0,1
295,1,1,1,0
296,2,1,0,1
297,1,1,0,1
298,2,1,0,0
299,1,1,0,0
300,1,1,0,1
301,1,1,1,0
302,2,1,0,0
303,2,1,0,1
304,1,1,0,0
305,2,1,0,1
306,1,1,0,1
307,1,1,0,1
308,2,1,0,1
309,1,1,0,1
310,1,1,0,0
311,1,1,0,1
312,2,1,0,0
313,1,1,1,0
314,2,1,0,1
315,3,2,0,0
316,1,1,0,0
317,2,1,0,0
318,2,1,0,0
319,1,1,0,1
320,2,2,1,0
321,1,1,1,0
322,2,2,1,1
323,2,1,0,0
324,2,1,0,1
325,1,1,0,1
326,1,1,1,0
327,2,1,0,1
328,1,1,0,0
329,1,1,0,1
330,2,2,1,1
331,2,1,0,0
332,2,1,0,0
333,2,1,0,1
334,2,2,1,2
335,1,1,0,1
336,1,1,0,0
337,2,1,0,1
338,1,1,1,0
339,1,1,1,0
340,1,1,0,1
341,2,1,0,1
342,1,1,0,1
343,1,1,1,0
344,2,1,1,1
345,2,1,0,1
346,2,1,0,1
347,2,1,1,1
348,2,1,0,1
349,2,1,0,0
350,1,1,1,0
351,2,1,0,1
352,1,1,1,0
353,1,1,1,0
354,1,1,1,0
355,2,1,2,0
356,1,1,1,1
357,1,1,0,1
358,2,1,0,1
359,2,1,0,1
360,2,1,0,1
361,1,1,1,0
362,2,1,0,1
363,2,1,0,0
364,1,1,0,1
365,2,1,0,0
366,2,1,0,1
367,2,1,0,1
368,3,2,1,1
369,1,1,1,0
370,2,1,1,1
371,1,1,0,0
372,1,1,0,1
373,1,1,1,0
374,2,1,0,1
375,1,1,1,0
376,1,1,1,0
377,1,1,0,1
378,1,1,1,0
379,1,1,0,1
380,2,1,0,1
381,2,1,0,1
382,1,1,1,0
383,1,1,1,0
384,1,1,0,1
385,1,1,0,0
386,2,1,1,0
387,2,1,1,1
388,2,1,0,1
389,1,1,0,1
390,2,1,0,1
391,2,1,1,1
392,2,1,0,0
393,2,1,1,1
394,2,1,0,0
395,1,1,0,1
396,2,1,0,0
397,2,1,0,1
398,2,1,0,1
399,2,1,0,1
400,1,1,0,0
401,1,1,1,0
402,2,1,0,0
403,2,1,0,0
404,2,1,1,1
405,2,1,0,0
406,2,1,0,0
407,1,1,0,1
408,2,1,0,0
409,2,1,0,0
410,2,1,0,0
411,1,1,1,0
412,1,1,1,0
