seqID,small_end,big_end
201,-0.5,0.5
202,-1.0,5.0
203,-1.0,-0.5
204,-1.0,5.0
205,-0.5,5.0
206,-1.0,5.0
207,-1.5,-0.5
208,-0.5,5.0
209,-1.5,5.0
210,-0.5,5.0
211,-0.5,5.0
212,-1.0,5.0
213,-1.5,5.0
214,-1.0,5.0
215,-1.0,0.5
216,0.0,5.0
217,-1.5,0.0
218,-0.5,0.5
219,-1.0,0.0
220,0.0,5.0
221,-1.5,5.0
222,0.0,5.0
223,-0.5,5.0
224,0.0,0.5
225,-1.0,-0.5
226,-1.5,5.0
227,-0.5,5.0
228,1.0,5.0
229,-1.0,5.0
230,-0.5,0.5
231,-0.5,5.0
232,-0.5,0.0
233,0.0,5.0
234,0.5,1.0
235,0.5,1.5
236,1.5,2.0
237,1.5,5.0
238,-0.5,0.5
239,1.5,2.5
240,0.5,1.0
241,0.5,5.0
242,0.5,1.0
243,1.0,1.5
244,1.5,2.0
245,-1.0,2.0
246,0.5,2.0
247,0.0,1.0
248,1.0,1.0
249,0.5,5.0
250,0.0,2.0
251,1.0,1.0
252,1.5,1.5
253,-0.5,1.0
254,-0.5,5.0
255,0.0,5.0
256,-0.5,5.0
257,-1.0,5.0
258,-0.5,5.0
259,0.5,5.0
260,-0.5,5.0
261,-1.0,5.0
262,-1.0,5.0
263,-2.0,5.0
264,-1.5,0.5
265,-1.5,5.0
266,-2.0,5.0
267,-1.5,5.0
268,-1.0,0.0
269,0.0,5.0
270,-1.0,0.0
271,-0.5,0.0
272,-1.0,5.0
273,-1.0,5.0
274,0.0,5.0
275,-1.0,1.0
276,-1.5,0.0
277,-1.5,5.0
278,-0.5,5.0
279,-1.0,5.0
280,-1.0,5.0
281,0.0,1.0
282,-0.5,1.0
283,-0.5,5.0
284,-0.5,0.5
285,-0.5,-0.5
286,-0.5,0.5
287,-1.5,5.0
288,0.0,0.5
289,-0.5,5.0
290,-0.5,0.0
291,0.0,1.0
292,-0.5,-0.5
293,0.0,5.0
294,0.0,5.0
295,-0.5,0.5
296,-0.5,5.0
297,0.0,5.0
298,0.5,5.0
299,-0.5,0.5
300,-1.0,5.0
301,-1.0,0.0
302,-1.0,5.0
303,-0.5,5.0
304,-0.5,1.0
305,-1.5,5.0
306,-1.0,5.0
307,-1.0,5.0
308,-0.5,5.0
309,-1.5,5.0
310,-0.5,1.0
311,-0.5,5.0
312,-0.5,5.0
313,-0.5,0.5
314,-1.0,5.0
315,0.0,1.0
316,0.0,5.0
317,0.0,5.0
318,0.0,5.0
319,0.0,5.0
320,-0.5,0.0
321,-1.0,0.0
322,-1.0,-0.5
323,-0.5,5.0
324,-1.0,5.0
325,-1.0,5.0
326,0.0,0.5
327,-1.0,5.0
328,-1.0,1.0
329,-1.5,5.0
330,-1.0,0.5
331,0.0,5.0
332,-1.0,5.0
333,-1.5,5.0
334,-0.5,0.5
335,-1.0,5.0
336,-1.0,5.0
337,-0.5,5.0
338,-0.5,0.5
339,-1.0,0.0
340,-1.0,5.0
341,-0.5,5.0
342,0.0,5.0
343,-0.5,0.0
344,-1.0,-0.5
345,-1.0,5.0
346,-1.0,5.0
347,-1.0,-1.0
348,-0.5,5.0
349,-0.5,5.0
350,-1.0,0.0
351,-1.0,5.0
352,-1.0,0.0
353,-1.0,-0.5
354,-1.5,0.5
355,-1.0,-1.0
356,-5.0,5.0
357,0.0,5.0
358,-1.0,5.0
359,-0.5,5.0
360,-1.5,5.0
361,0.0,0.0
362,-0.5,5.0
363,-0.5,5.0
364,-2.5,5.0
365,-1.0,5.0
366,-1.5,5.0
367,-1.0,5.0
368,-1.0,-0.5
369,-0.5,0.5
370,0.0,0.0
371,-0.5,5.0
372,-1.5,5.0
373,-0.5,0.5
374,-1.5,5.0
375,0.0,0.5
376,-0.5,0.5
377,-0.5,5.0
378,-1.0,0.5
379,-0.5,5.0
380,-0.5,5.0
381,-0.5,5.0
382,1.5,5.0
383,-0.5,0.5
384,-1.5,5.0
385,-0.5,0.5
386,1.0,5.0
387,-0.5,-0.5
388,-0.5,5.0
389,-0.5,5.0
390,-1.0,5.0
391,-1.0,-0.5
392,-0.5,5.0
393,-0.5,0.5
394,-0.5,5.0
395,-1.0,5.0
396,-0.5,5.0
397,-1.5,5.0
398,-1.0,5.0
399,-1.0,5.0
400,-1.0,5.0
401,1.5,5.0
402,-1.0,5.0
403,-0.5,5.0
404,-1.0,-0.5
405,-0.5,5.0
406,0.0,5.0
407,-1.5,5.0
408,-0.5,5.0
409,-0.5,5.0
410,-1.0,5.0
411,-1.5,-0.5
412,-1.5,-0.5
