seqID,small_end,big_end
111,-5.0,0.0
112,1.0,1.5
113,1.0,2.5
114,-5.0,0.0
115,-5.0,0.0
116,-5.0,0.5
117,-5.0,-0.5
118,-5.0,-0.5
119,-5.0,0.5
120,-5.0,0.0
121,-5.0,5.0
122,-5.0,0.0
123,-5.0,1.0
124,-5.0,-0.5
125,-5.0,0.0
126,-5.0,-0.5
127,0.0,0.0
128,-5.0,-0.5
129,0.5,0.5
130,-5.0,5.0
131,-5.0,-0.5
132,0.5,1.5
133,-5.0,0.5
134,-0.5,2.5
135,-0.5,0.0
136,-5.0,0.0
137,-5.0,0.0
138,1.0,2.0
139,-5.0,0.0
140,1.5,1.5
141,1.0,1.0
142,-0.5,0.0
143,-0.5,0.0
144,0.0,0.5
145,0.5,0.5
146,1.0,1.5
147,0.5,0.5
148,0.0,0.5
149,-5.0,0.0
150,-5.0,0.5
151,1.0,2.0
152,-5.0,0.5
153,-5.0,-0.5
154,-5.0,1.5
155,-5.0,-0.5
156,-5.0,-0.5
157,-5.0,-0.5
158,1.0,2.0
159,-5.0,0.5
160,-5.0,0.0
161,-5.0,-0.5
162,-5.0,-0.5
163,-5.0,-1.0
164,0.5,0.5
165,-5.0,5.0
166,0.5,2.0
167,-5.0,1.5
168,-5.0,-0.5
169,-5.0,-0.5
170,0.5,1.5
171,-5.0,0.0
172,-5.0,0.0
173,-5.0,-1.0
174,-5.0,-0.5
175,-5.0,-0.5
176,-5.0,0.0
177,-5.0,5.0
178,-5.0,5.0
179,-5.0,-0.5
180,-5.0,0.5
181,1.0,2.0
182,-5.0,5.0
183,-5.0,0.0
184,0.0,0.0
185,0.0,0.0
186,-5.0,-0.5
187,-5.0,0.5
188,-1.0,0.0
189,0.5,1.0
190,1.0,1.5
191,-5.0,1.0
192,0.5,1.0
193,0.5,1.0
194,-1.0,0.0
195,-1.0,0.5
196,-1.0,0.5
197,-1.0,0.0
198,-1.0,0.5
199,-1.5,0.5
200,-1.5,0.5
201,-0.5,0.5
202,-1.0,-0.5
203,-1.0,-0.5
204,-1.0,-1.0
205,-0.5,0.5
206,-1.0,0.5
207,-1.0,-0.5
208,-0.5,0.0
209,-1.5,0.0
210,-0.5,-0.5
211,-0.5,0.5
212,-1.0,0.5
213,-1.5,-0.5
214,-1.0,0.0
215,-1.5,0.0
216,0.0,1.0
217,-1.0,0.0
218,-2.0,0.5
219,-2.0,0.0
220,0.0,1.0
221,-1.5,0.5
222,0.0,0.5
223,-0.5,0.0
224,-1.0,0.5
225,-1.5,-0.5
226,-1.5,0.0
227,-0.5,0.5
228,1.0,1.0
229,-1.0,0.5
230,-0.5,0.5
231,-0.5,1.5
232,-1.0,0.0
233,0.0,0.5
234,0.5,1.0
235,0.5,1.5
236,2.0,2.0
237,-5.0,5.0
238,-5.0,5.0
239,1.5,2.5
240,1.0,1.0
241,0.5,5.0
242,0.5,5.0
243,-5.0,-1.5
244,2.0,2.0
245,1.0,2.0
246,1.0,2.0
247,1.0,1.0
248,1.0,1.0
249,-5.0,0.5
250,1.0,2.0
251,1.0,1.0
252,1.5,1.5
253,-0.5,1.0
254,-0.5,0.5
255,0.0,0.5
256,-0.5,0.5
257,-1.0,-0.5
258,-0.5,1.0
259,0.5,1.5
260,-0.5,0.5
261,-1.0,0.0
262,-1.0,0.0
263,-2.0,0.0
264,-1.0,0.5
265,-1.5,0.0
266,-2.0,0.0
267,-1.5,0.5
268,-1.0,0.0
269,0.0,1.0
270,-1.0,0.0
271,-0.5,0.0
272,-1.0,0.0
273,-1.0,0.0
274,0.0,0.0
275,-1.0,0.5
276,-1.5,0.0
277,-1.5,-0.5
278,-0.5,1.0
279,-1.0,0.0
280,-1.0,0.5
281,-0.5,1.0
282,0.0,0.0
283,-0.5,0.5
284,-0.5,0.5
285,-0.5,-0.5
286,-0.5,0.5
287,-1.5,0.0
288,0.0,0.0
289,-0.5,0.5
290,-0.5,0.0
291,0.0,1.0
292,-0.5,-0.5
293,0.0,0.0
294,0.0,0.0
295,0.5,0.5
296,-0.5,0.0
297,-5.0,5.0
298,0.5,1.0
299,-1.0,0.5
300,-1.0,0.0
301,-1.0,0.0
302,-1.0,0.5
303,-0.5,0.5
304,0.0,1.0
305,-1.5,0.0
306,-1.0,-0.5
307,-1.0,-0.5
308,-0.5,0.0
309,-1.5,-0.5
310,0.5,1.0
311,-0.5,-0.5
312,-0.5,0.5
313,-1.0,0.5
314,-1.0,0.5
315,0.0,1.0
316,0.0,0.5
317,0.0,1.0
318,0.0,1.0
319,0.0,0.5
320,-0.5,0.0
321,-0.5,0.0
322,-1.5,-0.5
323,-0.5,0.5
324,-1.0,0.0
325,-1.0,0.0
326,-0.5,0.5
327,-1.0,0.0
328,-0.5,1.0
329,-1.5,0.0
330,-1.0,0.5
331,0.0,1.0
332,-1.0,0.5
333,-1.5,-0.5
334,-0.5,0.0
335,-1.0,0.0
336,-1.0,0.5
337,-0.5,0.0
338,-1.5,0.5
339,-1.0,0.0
340,-1.0,0.0
341,-0.5,0.0
342,0.0,0.0
343,-1.0,0.0
344,-1.5,-0.5
345,-1.0,0.0
346,-1.0,0.0
347,-1.0,-1.0
348,-0.5,0.5
349,-0.5,0.5
350,-1.5,0.0
351,-1.0,0.0
352,-1.5,0.0
353,-1.0,-0.5
354,-1.5,0.5
355,-1.5,-1.0
356,-5.0,5.0
357,-5.0,5.0
358,-1.0,0.0
359,-0.5,0.0
360,-1.5,0.0
361,-0.5,0.0
362,-0.5,0.5
363,-0.5,0.5
364,-2.5,-0.5
365,-1.0,0.5
366,-1.5,0.0
367,-1.0,0.0
368,-1.0,-0.5
369,-0.5,0.5
370,0.0,0.0
371,-0.5,1.0
372,-1.5,0.5
373,-0.5,0.5
374,-1.5,0.5
375,-1.0,0.5
376,0.0,0.5
377,-0.5,0.0
378,0.0,0.5
379,-0.5,0.0
380,-0.5,0.0
381,-0.5,-0.5
382,-5.0,5.0
383,-1.5,0.5
384,-1.5,0.5
385,-1.0,0.5
386,1.0,2.5
387,-0.5,-0.5
388,-0.5,0.5
389,-0.5,0.0
390,-1.0,0.0
391,-1.0,-0.5
392,-0.5,0.5
393,-0.5,0.0
394,-0.5,1.0
395,-1.0,0.5
396,-0.5,1.0
397,-1.5,0.0
398,-1.0,0.0
399,-1.0,0.0
400,-1.0,0.5
401,-5.0,5.0
402,-1.0,1.0
403,-0.5,1.0
404,-1.0,-0.5
405,-0.5,0.5
406,0.0,1.0
407,-1.5,0.0
408,-0.5,1.0
409,-0.5,0.5
410,-1.0,0.5
411,-1.5,-0.5
412,-1.0,-0.5
