sequenceID,small_end,big_end
446.8,-3.25,inf
464.2,-2.0,inf
470.1,-0.75,inf
470.17,-1.5,0.5
479.11,-3.25,-0.5
479.17,-2.75,inf
482.5,-2.75,inf
482.8,-2.25,-1.25
487.11,-2.0,inf
487.17,-2.0,inf
487.4,-3.0,0.5
487.6,-3.25,inf
50.13,-3.0,0.5
50.14,-3.25,-0.25
50.2,-3.5,1.0
50.6,-2.25,-1.5
508.1,-inf,inf
508.2,-0.75,inf
513.7,-2.25,inf
516.1,-1.75,inf
516.2,-4.25,inf
522.1,-1.0,0.25
522.11,-2.0,inf
522.17,-1.5,inf
522.21,-5.75,inf
522.3,-2.5,inf
522.4,-3.75,inf
544.17,-2.25,inf
544.2,-3.0,-0.25
545.17,-1.25,1.5
57.1,-0.5,0.75
57.12,-1.25,inf
57.13,-3.75,inf
57.14,-1.0,1.25
57.16,-3.5,inf
57.17,-0.75,1.25
57.5,-1.25,1.5
57.7,-2.0,inf
57.8,-3.0,1.5
586.1,-1.5,inf
587.1,-1.25,inf
587.17,-2.25,inf
591.1,2.5,inf
592.1,-1.75,1.25
592.2,-3.5,inf
592.3,-2.0,1.75
593.11,2.25,inf
66.1,-1.5,-0.5
66.17,-2.0,inf
66.21,-1.75,inf
66.5,-3.0,inf
67.19,-2.75,-0.5
79.5,-1.25,inf
8.1,-2.25,1.25
8.11,-1.0,inf
8.12,-2.5,inf
8.17,-1.25,inf
8.18,-3.25,inf
8.2,-2.5,inf
8.20,-3.0,inf
8.7,-2.75,inf
9.1,2.75,inf
91.12,-2.5,inf
91.17,-2.0,inf
91.7,-2.75,-0.5
91.X,-2.25,inf
94.11,-0.75,inf
94.16,-4.25,inf
94.17,-1.25,inf
94.3,-1.75,inf
94.4,-2.25,inf
96.10,-4.25,-1.25
96.14,-4.0,-1.0
